age,gender,education_level,government_region,W8wave5,W8wave6,W8wave7,w1rwa11,w1rwa21,w1rwa31,w1wing1a,w1EQUALITY1,w2UKparty1,w2UKparty2,w2UKparty3,w2trdegl5,w2trdegl7,w2trdegl8,w2trdegl9,w2efftrst1,w2efftrst2,w2efftrst3,w2efftrst4,w2efftrst5,w2efftrst6,w2efftrst14,w2efftrst15,w2efftrst16,w2efftrst18,w2natid1,w2natid2,w2natid3,w2natid4,w2eupan1,w2eupan2,w2eupan3,w2eupan4,w2eupan5,w2eupan6,w2eupan7,w2eupan8,w2eupan9,w2eupan10,w5econ1,w5econ2,w5econp1,w5econp2,w5EUref1,w6econ1,w6econ2,w6econp1,w6econp2,w6EUref1,w7cgreed,w7banks,w7EUref1,Weight_wave10,w10econ1,w10econ2,w10econp1,w10econp2,w10EUref1
69,Female,City and Guild certificate - advanced,South West,1.11369517623978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Get a little worse,Stay the same,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
42,Female,University diploma,North East,1.108552998636433,1.186038325969875,1.164470501785489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Stay the same,Get a little worse,I would vote for Britain to leave the European Union.,Stayed the same,Gotten a little better,Stay the same,Get a little worse,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,1.065905894864012,Got a little worse,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.
58,Female,GCE A level or Higher Certificate,South West,1.013724596981068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Stay the same,Don't know,Don't know,,,,,,,,,,,,,,
56,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",West Midlands,.7767596038522588,.7607680374331938,.7211748011076238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Strongly agree,Agree,I would vote for Britain to remain a member of the European Union,.6003862114384819,Got a little better,Got a lot better,Get a little better,Get a little better,I would vote for Britain to remain a member of the European Union.
76,Male,University diploma,West Midlands,1.091008043482612,.9928949165199924,1.004654804180255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little worse,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Gotten a little better,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Agree,Agree,I would vote for Britain to leave the European Union,,,,,,
63,Male,"CSE grade 1, GCE O level, GCSE, School Certificate",South West,.7880001020378314,,,Strongly agree,Strongly agree,Agree,10,1 - Government should get out of the business of promoting income equality.,,United Kingdom Independence Party (UKIP),,Negative effect,Positive effect,No effect,Negative effect,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Extremely important,Extremely well,Always,Extremely important,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
48,Female,GCE A level or Higher Certificate,East Midlands,.9569740159622335,.8864807492145672,.8871362294859935,Strongly agree,Strongly agree,Agree,6,2,,,No-none,No effect,No effect,Negative effect,Negative effect,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Extremely important,Extremely well,Quite Often,Extremely important,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Don’t know,Strongly agree,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Stayed the same,Stayed the same,Get a little better,Get a little better,I would vote for Britain to leave the European Union,Neither agree nor disagree,Agree,I would vote for Britain to leave the European Union,.8833693270552933,Got a little better,Stayed the same,Stay the same,Stay the same,I would vote for Britain to leave the European Union.
39,Female,GCE A level or Higher Certificate,East Midlands,,,,Agree,Agree,Disagree,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",East of England,,,,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,6,3,No-none,,,Negative effect,Positive effect,Positive effect,Don’t know,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Very important,Extremely well,Always,Extremely important,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Don’t know,Disagree,Don’t know,Strongly agree,,,,,,,,,,,,,,,,,,,
44,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",South East,.5522690174749449,.8553848554091628,.8805816252400164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Neither agree nor disagree,Neither agree nor disagree,I would vote for Britain to remain a member of the European Union,,,,,,
68,Female,"Other technical, professional or higher qualification",North East,1.099128128038928,1.505218743894618,1.468308299641507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to remain a member of the European Union.,Gotten a little worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,,,,,,
59,Female,"CSE grade 1, GCE O level, GCSE, School Certificate",London,.3062946257420097,.3102322409278257,.3012339646025848,Agree,Strongly agree,Strongly agree,5,7 -  Government should do more to reduce income inequality.,British National Party (BNP),,,Negative effect,Negative effect,Negative effect,Negative effect,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Extremely important,Extremely well,Always,Extremely important,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Got a lot worse,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Stay the same,I would vote for Britain to leave the European Union,Agree,Disagree,I would vote for Britain to leave the European Union,.5060072939176475,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to leave the European Union.
63,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",South East,.8380471678745022,.6932514303228019,.7038159231877806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Strongly agree,Agree,I would vote for Britain to remain a member of the European Union,.6658333524312333,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.
37,Female,Don't know,South East,,,,Strongly agree,Agree,Agree,5,4,,,Green,Negative effect,Negative effect,Negative effect,Negative effect,Don’t Know,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Very important,Very well,Don’t know,Very important,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Disagree,,,,,,,,,,,,,,,,,,,
68,Male,"University or CNAA higher degree (eg M.Sc, Ph.D)",South East,,,,Agree,Agree,Strongly agree,8,1 - Government should get out of the business of promoting income equality.,,,Conservative,Negative effect,Negative effect,Positive effect,Negative effect,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Extremely important,Extremely well,Always,Extremely important,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
44,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Yorkshire and the Humber,.8571588362328419,.8830022406280792,.8353467908804271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Stay the same,Stay the same,Don't know,Gotten a little better,Stayed the same,Get a little better,Get a little better,Don't know,Neither agree nor disagree,Neither agree nor disagree,Don't know,.7516839005520261,Got a little better,Got a little better,Get a little better,Get a little better,Don't know
38,Male,GCE A level or Higher Certificate,Yorkshire and the Humber,1.459639406289538,.8626236315346613,.900837894213036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little worse,Get a little worse,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Agree,Neither agree nor disagree,I would vote for Britain to leave the European Union,,,,,,
53,Male,"CSE grade 1, GCE O level, GCSE, School Certificate",Yorkshire and the Humber,.9511204332907769,.7907817044342742,.8068855818753556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a little better,Don't know,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Disagree,Agree,I would vote for Britain to leave the European Union,.806978105753077,Stayed the same,Stayed the same,Don't know,Don't know,I would vote for Britain to leave the European Union.
58,Female,"CSE grade 1, GCE O level, GCSE, School Certificate",East of England,1.008804554780693,1.109316102301479,1.155519825665412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Get a little worse,Get a little worse,Don't know,Gotten a lot worse,Gotten a lot worse,Get a little worse,Get a little worse,Don't know,Strongly agree,Neither agree nor disagree,Don't know,1.144429358960832,Got a little worse,Got a little worse,Stay the same,Stay the same,I would vote for Britain to leave the European Union.
34,Male,"Other technical, professional or higher qualification",London,.9410362279894054,1.281152307759358,1.326594625120028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Get a little worse,Stay the same,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Stayed the same,Get a little worse,Get a little better,I would vote for Britain to remain a member of the European Union,Agree,Agree,I would vote for Britain to remain a member of the European Union,1.217968473208252,Stayed the same,Got a little better,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.
57,Male,"CSE grade 1, GCE O level, GCSE, School Certificate",South West,.8871070856657091,1.078015709165686,1.068939278140675,Strongly agree,Strongly agree,Strongly agree,3,7 -  Government should do more to reduce income inequality.,Labour,,,Negative effect,Positive effect,No effect,Negative effect,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Extremely important,Extremely well,Quite Often,Extremely important,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Got a little better,Got a little worse,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Gotten a little worse,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Strongly agree,Agree,I would vote for Britain to remain a member of the European Union,1.212695899261859,Got a little better,Stayed the same,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union.
50,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",East Midlands,.820823082081407,.7013368200924913,.7126962594176512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a lot better,Got a little better,Get a lot better,Get a lot better,Don't know,Gotten a lot better,Gotten a little better,Get a little better,Get a lot better,Don't know,Neither agree nor disagree,Disagree,Don't know,,,,,,
68,Male,GCE A level or Higher Certificate,Yorkshire and the Humber,.8594037463581434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a lot worse,Got a little worse,Get a lot better,Get a little worse,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
35,Female,"University or CNAA higher degree (eg M.Sc, Ph.D)",North West,.6422099773875971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.,,,,,,,,,,,,,,
44,Male,"Other technical, professional or higher qualification",South West,.953254361085125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Got a lot worse,Get a lot worse,Get a little better,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
52,Female,"CSE grade 1, GCE O level, GCSE, School Certificate",East Midlands,.6383310769399068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a lot worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to leave the European Union.,,,,,,,,,,,,,,
37,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",London,,,,Strongly agree,Agree,Disagree,2,4,Labour,,,Negative effect,Positive effect,No effect,No effect,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Neither unimportant nor important,Very well,Rarely,Neither unimportant nor important,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,
54,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Wales,.5256955096073446,.4625279550606164,.4625824747722155,Neither agree nor disagree,Disagree,Strongly disagree,2,7 -  Government should do more to reduce income inequality.,Labour,,,Negative effect,Negative effect,No effect,Don’t know,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Very important,Very well,Quite Often,Very important,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,,,,,,
49,Female,City and Guild certificate,East Midlands,1.040427815983735,1.156742631847337,1.152569434850144,Strongly agree,Strongly agree,Strongly agree,5,4,,No-none,,No effect,No effect,Negative effect,Negative effect,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Extremely important,Extremely well,Quite Often,Extremely important,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Got a lot worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union,Agree,Strongly agree,I would vote for Britain to leave the European Union,1.277001125518485,Got a lot worse,Got a little worse,Get a little worse,Get a little worse,I would vote for Britain to leave the European Union.
68,Male,"Other technical, professional or higher qualification",North East,1.312771222643064,1.177496558685374,1.113687480978728,Strongly agree,Strongly agree,Neither agree nor disagree,3,7 -  Government should do more to reduce income inequality.,,,Labour,Negative effect,No effect,Negative effect,Negative effect,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly agree,Extremely important,Extremely well,Don’t know,Extremely important,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Got a little worse,Got a lot worse,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union.,Gotten a little worse,Gotten a little worse,Get a little worse,Get a little worse,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,,,,,,
51,Male,"Other technical, professional or higher qualification",East of England,.9424714812441222,1.18637473041884,1.272130354091158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little better,Stayed the same,Stay the same,Stay the same,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Strongly agree,Agree,I would vote for Britain to leave the European Union,.9895514815159224,Got a lot better,Got a little better,Get a lot better,Get a lot better,I would vote for Britain to leave the European Union.
64,Female,GCE A level or Higher Certificate,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",West Midlands,.5319695304097234,.5619701647876482,.5634715825900295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Strongly agree,Agree,I would vote for Britain to remain a member of the European Union,,,,,,
71,Female,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",Scotland,,,,Strongly agree,Agree,Neither agree nor disagree,4,5,,,Liberal Democrat,Negative effect,No effect,No effect,Positive effect,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither unimportant nor important,Very well,Always,Very important,Strongly disagree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,,,
45,Male,"CSE grade 1, GCE O level, GCSE, School Certificate",West Midlands,1.058703906979109,.9215267435635596,.9393069870736557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a lot better,Got a little better,Get a little better,Get a lot better,I would vote for Britain to remain a member of the European Union.,Gotten a little better,Gotten a little better,Get a little better,Get a lot better,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.9002072466697468,Got a lot better,Stayed the same,Get a little better,Get a lot better,I would vote for Britain to remain a member of the European Union.
59,Male,"University or CNAA first degree (eg BA, B.Sc, B.Ed)",East Midlands,1.093089665921202,.518885852645371,.5000024887299538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Stay the same,Stay the same,I would vote for Britain to remain a member of the European Union.,Gotten a little worse,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union,Strongly agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.4817439546948135,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to remain a member of the European Union.
68,Female,Teaching qualification (not degree),South West,.3559888188622556,.164240476164238,.1273556763539626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little worse,Get a little worse,Stay the same,I would vote for Britain to leave the European Union.,Gotten a little worse,Stayed the same,Stay the same,Get a little worse,I would vote for Britain to leave the European Union,Strongly agree,Agree,I would vote for Britain to leave the European Union,,,,,,
80,Female,Clerical and commercial,South West,.3218709812427168,.2640076342311073,.262454883326999,Strongly agree,Strongly agree,Strongly disagree,5,4,,,United Kingdom Independence Party (UKIP),No effect,Don’t know,No effect,No effect,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Extremely important,Extremely well,Don’t know,Extremely important,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Got a little worse,Got a little worse,Stay the same,Get a little worse,I would vote for Britain to leave the European Union.,Gotten a little worse,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Strongly agree,Strongly agree,I would vote for Britain to leave the European Union,,,,,,
37,Female,GCE A level or Higher Certificate,West Midlands,1.012886570483887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed the same,Stayed the same,Get a lot worse,Get a little worse,Don't know,,,,,,,,,,,,,,
53,Male,GCE A level or Higher Certificate,East of England,1.047542886955073,.8742344424119622,.9250289442105323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Got a little worse,Got a little better,Get a little better,Stay the same,I would vote for Britain to remain a member of the European Union.,Stayed the same,Gotten a little worse,Stay the same,Get a little worse,I would vote for Britain to remain a member of the European Union,Agree,Strongly agree,I would vote for Britain to remain a member of the European Union,.8619482250064203,Got a little better,Got a little better,Get a little better,Stay the same,I would vote for Britain to remain a member of the European Union.
65,Male,City and Guild certificate,East of England,.8285674714983989,.8554998450558481,.8603365204270957,Agree,Agree,Disagree,6,3,,,No-none,No effect,Don’t know,No effect,Don’t know,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Neither unimportant nor important,Extremely well,Always,Neither unimportant nor important,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Don’t know,Disagree,Neither agree nor disagree,Don’t know,Strongly agree,Got a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union.,Gotten a little better,Stayed the same,Stay the same,Get a little better,I would vote for Britain to leave the European Union,Neither agree nor disagree,Neither agree nor disagree,I would vote for Britain to leave the European Union,,,,,,
