age;gender;education_level;government_region;W8wave5;W8wave6;W8wave7;w1rwa11;w1rwa21;w1rwa31;w1wing1a;w1EQUALITY1;w2UKparty1;w2UKparty2;w2UKparty3;w2trdegl5;w2trdegl7;w2trdegl8;w2trdegl9;w2efftrst1;w2efftrst2;w2efftrst3;w2efftrst4;w2efftrst5;w2efftrst6;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;w2natid1;w2natid2;w2natid3;w2natid4;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;w5econ1;w5econ2;w5econp1;w5econp2;w5EUref1;w6econ1;w6econ2;w6econp1;w6econp2;w6EUref1;w7cgreed;w7banks;w7EUref1;Weight_wave10;w10econ1;w10econ2;w10econp1;w10econp2;w10EUref1
69;Female;City and Guild certificate - advanced;South West;111.369.517.623.978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Stayed the same;Get a little worse;Stay the same;3;;;;;;;;;;;;;;
42;Female;University diploma;North East;1.108.552.998.636.430;1.186.038.325.969.870;1.164.470.501.785.480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little worse;Got a little worse;Stay the same;Get a little worse;3;Stayed the same;Gotten a little better;Stay the same;Get a little worse;1;Strongly agree;Strongly agree;1;1.065.905.894.864.010;Got a little worse;Got a little worse;Get a little worse;Stay the same;1
58;Female;GCE A level or Higher Certificate;South West;1.013.724.596.981.060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Stayed the same;Stay the same;Don't know;2;;;;;;;;;;;;;;
56;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);West Midlands;.7767596038522588;.7607680374331938;.7211748011076238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Get a little better;Get a little better;1;Gotten a little better;Stayed the same;Stay the same;Get a little better;1;Strongly agree;Agree;1;.6003862114384819;Got a little better;Got a lot better;Get a little better;Get a little better;1
76;Male;University diploma;West Midlands;1.091.008.043.482.610;.9928949165199924;1.004.654.804.180.250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Got a little worse;Stay the same;Get a little better;3;Gotten a little better;Gotten a little better;Stay the same;Get a little better;3;Agree;Agree;3;;;;;;
63;Male;CSE grade 1, GCE O level, GCSE, School Certificate;South West;.7880001020378314;;;Strongly agree;Strongly agree;Agree;10;1 - Government should get out of the business of promoting income equality.;;United Kingdom Independence Party (UKIP);;Negative effect;Positive effect;No effect;Negative effect;Strongly agree;Agree;Strongly disagree;Agree;Agree;Strongly disagree;3;3;4;5;Extremely important;Extremely well;Always;Extremely important;5;2;5;2;5;1;4;4;1;2;Got a little better;Stayed the same;Stay the same;Get a little better;3;;;;;;;;;;;;;;
48;Female;GCE A level or Higher Certificate;East Midlands;.9569740159622335;.8864807492145672;.8871362294859935;Strongly agree;Strongly agree;Agree;6;2;;;No-none;No effect;No effect;Negative effect;Negative effect;Disagree;Neither agree nor disagree;Agree;Disagree;Disagree;Agree;2;4;4;4;Extremely important;Extremely well;Quite Often;Extremely important;4;2;4;2;5;2;4;2;3;1;Got a little better;Stayed the same;Stay the same;Get a little better;3;Stayed the same;Stayed the same;Get a little better;Get a little better;3;Neither agree nor disagree;Agree;3;.8833693270552933;Got a little better;Stayed the same;Stay the same;Stay the same;3
39;Female;GCE A level or Higher Certificate;East Midlands;;;;Agree;Agree;Disagree;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Female;University or CNAA first degree (eg BA, B.Sc, B.Ed);East of England;;;;Neither agree nor disagree;Neither agree nor disagree;Strongly disagree;6;3;No-none;;;Negative effect;Positive effect;Positive effect;Don’t know;Disagree;Agree;Agree;Agree;Disagree;Agree;4;3;3;4;Very important;Extremely well;Always;Extremely important;3;2;2;2;4;2;3;2;3;1;;;;;;;;;;;;;;;;;;;
44;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);South East;.5522690174749449;.8553848554091628;.8805816252400164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Neither agree nor disagree;Neither agree nor disagree;1;;;;;;
68;Female;Other technical, professional or higher qualification;North East;1.099.128.128.038.920;1.505.218.743.894.610;1.468.308.299.641.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little worse;Stayed the same;Stay the same;Get a little worse;1;Gotten a little worse;Stayed the same;Stay the same;Get a little worse;1;Strongly agree;Strongly agree;1;;;;;;
59;Female;CSE grade 1, GCE O level, GCSE, School Certificate;London;.3062946257420097;.3102322409278257;.3012339646025848;Agree;Strongly agree;Strongly agree;5;7 -  Government should do more to reduce income inequality.;British National Party (BNP);;;Negative effect;Negative effect;Negative effect;Negative effect;Strongly agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;4;4;4;5;Extremely important;Extremely well;Always;Extremely important;5;5;5;5;5;5;5;5;5;4;Got a lot worse;Got a little worse;Get a little worse;Stay the same;3;Gotten a little worse;Gotten a little worse;Get a little worse;Stay the same;3;Agree;Disagree;3;.5060072939176475;Stayed the same;Stayed the same;Stay the same;Stay the same;3
63;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);South East;.8380471678745022;.6932514303228019;.7038159231877806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Get a little better;1;Gotten a little better;Stayed the same;Stay the same;Get a little better;1;Strongly agree;Agree;1;.6658333524312333;Got a little better;Stayed the same;Stay the same;Get a little better;1
37;Female;Don't know;South East;;;;Strongly agree;Agree;Agree;5;4;;;Green;Negative effect;Negative effect;Negative effect;Negative effect;Don’t Know;Agree;Strongly agree;Agree;Disagree;Strongly agree;5;4;5;5;Very important;Very well;Don’t know;Very important;4;5;5;5;5;4;5;4;5;4;;;;;;;;;;;;;;;;;;;
68;Male;University or CNAA higher degree (eg M.Sc, Ph.D);South East;;;;Agree;Agree;Strongly agree;8;1 - Government should get out of the business of promoting income equality.;;;Conservative;Negative effect;Negative effect;Positive effect;Negative effect;Agree;Strongly agree;Strongly disagree;Strongly agree;Agree;Strongly disagree;5;5;5;5;Extremely important;Extremely well;Always;Extremely important;4;5;5;5;5;4;5;2;5;1;;;;;;;;;;;;;;;;;;;
44;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);Yorkshire and the Humber;.8571588362328419;.8830022406280792;.8353467908804271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Stay the same;2;Gotten a little better;Stayed the same;Get a little better;Get a little better;2;Neither agree nor disagree;Neither agree nor disagree;2;.7516839005520261;Got a little better;Got a little better;Get a little better;Get a little better;2
38;Male;GCE A level or Higher Certificate;Yorkshire and the Humber;1.459.639.406.289.530;.8626236315346613;.900837894213036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Got a little worse;Get a little worse;Get a little better;3;Gotten a little better;Stayed the same;Stay the same;Get a little better;3;Agree;Neither agree nor disagree;3;;;;;;
53;Male;CSE grade 1, GCE O level, GCSE, School Certificate;Yorkshire and the Humber;.9511204332907769;.7907817044342742;.8068855818753556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Got a little better;Don't know;Get a little better;3;Gotten a little better;Stayed the same;Stay the same;Get a little better;3;Disagree;Agree;3;.806978105753077;Stayed the same;Stayed the same;Don't know;Don't know;3
58;Female;CSE grade 1, GCE O level, GCSE, School Certificate;East of England;1.008.804.554.780.690;1.109.316.102.301.470;1.155.519.825.665.410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little worse;Got a little worse;Get a little worse;Get a little worse;2;Gotten a lot worse;Gotten a lot worse;Get a little worse;Get a little worse;2;Strongly agree;Neither agree nor disagree;2;1.144.429.358.960.830;Got a little worse;Got a little worse;Stay the same;Stay the same;3
34;Male;Other technical, professional or higher qualification;London;.9410362279894054;1.281.152.307.759.350;1.326.594.625.120.020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Stayed the same;Get a little worse;Stay the same;1;Gotten a little better;Stayed the same;Get a little worse;Get a little better;1;Agree;Agree;1;1.217.968.473.208.250;Stayed the same;Got a little better;Stay the same;Get a little better;1
57;Male;CSE grade 1, GCE O level, GCSE, School Certificate;South West;.8871070856657091;1.078.015.709.165.680;1.068.939.278.140.670;Strongly agree;Strongly agree;Strongly agree;3;7 -  Government should do more to reduce income inequality.;Labour;;;Negative effect;Positive effect;No effect;Negative effect;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Disagree;3;4;4;5;Extremely important;Extremely well;Quite Often;Extremely important;5;2;3;2;3;2;2;3;5;2;Got a little better;Got a little worse;Stay the same;Stay the same;1;Gotten a little better;Gotten a little worse;Stay the same;Stay the same;1;Strongly agree;Agree;1;1.212.695.899.261.850;Got a little better;Stayed the same;Get a little worse;Get a little worse;1
50;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);East Midlands;.820823082081407;.7013368200924913;.7126962594176512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a lot better;Got a little better;Get a lot better;Get a lot better;2;Gotten a lot better;Gotten a little better;Get a little better;Get a lot better;2;Neither agree nor disagree;Disagree;2;;;;;;
68;Male;GCE A level or Higher Certificate;Yorkshire and the Humber;.8594037463581434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a lot worse;Got a little worse;Get a lot better;Get a little worse;3;;;;;;;;;;;;;;
35;Female;University or CNAA higher degree (eg M.Sc, Ph.D);North West;.6422099773875971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Stayed the same;Stay the same;Get a little better;1;;;;;;;;;;;;;;
44;Male;Other technical, professional or higher qualification;South West;.953254361085125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Got a lot worse;Get a lot worse;Get a little better;3;;;;;;;;;;;;;;
52;Female;CSE grade 1, GCE O level, GCSE, School Certificate;East Midlands;.6383310769399068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a lot worse;Stayed the same;Stay the same;Get a little worse;3;;;;;;;;;;;;;;
37;Female;University or CNAA first degree (eg BA, B.Sc, B.Ed);London;;;;Strongly agree;Agree;Disagree;2;4;Labour;;;Negative effect;Positive effect;No effect;No effect;Agree;Agree;Disagree;Agree;Agree;Neither agree nor disagree;3;5;4;4;Neither unimportant nor important;Very well;Rarely;Neither unimportant nor important;1;3;3;3;4;3;3;2;4;2;;;;;;;;;;;;;;;;;;;
54;Female;University or CNAA first degree (eg BA, B.Sc, B.Ed);Wales;.5256955096073446;.4625279550606164;.4625824747722155;Neither agree nor disagree;Disagree;Strongly disagree;2;7 -  Government should do more to reduce income inequality.;Labour;;;Negative effect;Negative effect;No effect;Don’t know;Disagree;Agree;Disagree;Neither agree nor disagree;Agree;Disagree;4;4;4;5;Very important;Very well;Quite Often;Very important;1;1;1;3;3;1;2;1;1;1;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Strongly agree;Strongly agree;1;;;;;;
49;Female;City and Guild certificate;East Midlands;1.040.427.815.983.730;1.156.742.631.847.330;1.152.569.434.850.140;Strongly agree;Strongly agree;Strongly agree;5;4;;No-none;;No effect;No effect;Negative effect;Negative effect;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;5;5;5;5;Extremely important;Extremely well;Quite Often;Extremely important;5;5;5;5;5;3;5;5;5;5;Got a lot worse;Got a little worse;Get a little worse;Get a little worse;3;Gotten a little worse;Gotten a little worse;Get a little worse;Get a little worse;3;Agree;Strongly agree;3;1.277.001.125.518.480;Got a lot worse;Got a little worse;Get a little worse;Get a little worse;3
68;Male;Other technical, professional or higher qualification;North East;1.312.771.222.643.060;1.177.496.558.685.370;1.113.687.480.978.720;Strongly agree;Strongly agree;Neither agree nor disagree;3;7 -  Government should do more to reduce income inequality.;;;Labour;Negative effect;No effect;Negative effect;Negative effect;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;4;4;4;5;Extremely important;Extremely well;Don’t know;Extremely important;3;3;3;3;5;3;3;4;4;2;Got a little worse;Got a lot worse;Get a little worse;Get a little worse;1;Gotten a little worse;Gotten a little worse;Get a little worse;Get a little worse;1;Strongly agree;Strongly agree;1;;;;;;
51;Male;Other technical, professional or higher qualification;East of England;.9424714812441222;118.637.473.041.884;1.272.130.354.091.150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Stayed the same;Stay the same;Stay the same;3;Gotten a little better;Stayed the same;Stay the same;Get a little better;3;Strongly agree;Agree;3;.9895514815159224;Got a lot better;Got a little better;Get a lot better;Get a lot better;3
64;Female;GCE A level or Higher Certificate;East of England;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);West Midlands;.5319695304097234;.5619701647876482;.5634715825900295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Stayed the same;Stayed the same;Stay the same;Get a little better;1;Strongly agree;Agree;1;;;;;;
71;Female;University or CNAA first degree (eg BA, B.Sc, B.Ed);Scotland;;;;Strongly agree;Agree;Neither agree nor disagree;4;5;;;Liberal Democrat;Negative effect;No effect;No effect;Positive effect;Agree;Strongly agree;Disagree;Strongly agree;Agree;Agree;4;4;3;4;Neither unimportant nor important;Very well;Always;Very important;1;2;2;2;3;1;2;1;2;1;;;;;;;;;;;;;;;;;;;
45;Male;CSE grade 1, GCE O level, GCSE, School Certificate;West Midlands;1.058.703.906.979.100;.9215267435635596;.9393069870736557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a lot better;Got a little better;Get a little better;Get a lot better;1;Gotten a little better;Gotten a little better;Get a little better;Get a lot better;1;Strongly agree;Strongly agree;1;.9002072466697468;Got a lot better;Stayed the same;Get a little better;Get a lot better;1
59;Male;University or CNAA first degree (eg BA, B.Sc, B.Ed);East Midlands;1.093.089.665.921.200;.518885852645371;.5000024887299538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Gotten a little worse;Stayed the same;Stay the same;Get a little better;1;Strongly agree;Strongly agree;1;.4817439546948135;Got a little better;Stayed the same;Stay the same;Get a little better;1
68;Female;Teaching qualification (not degree);South West;.3559888188622556;.164240476164238;.1273556763539626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little worse;Got a little worse;Get a little worse;Stay the same;3;Gotten a little worse;Stayed the same;Stay the same;Get a little worse;3;Strongly agree;Agree;3;;;;;;
80;Female;Clerical and commercial;South West;.3218709812427168;.2640076342311073;.262454883326999;Strongly agree;Strongly agree;Strongly disagree;5;4;;;United Kingdom Independence Party (UKIP);No effect;Don’t know;No effect;No effect;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Agree;4;4;4;5;Extremely important;Extremely well;Don’t know;Extremely important;5;4;5;2;5;4;3;5;4;4;Got a little worse;Got a little worse;Stay the same;Get a little worse;3;Gotten a little worse;Stayed the same;Stay the same;Get a little better;3;Strongly agree;Strongly agree;3;;;;;;
37;Female;GCE A level or Higher Certificate;West Midlands;1.012.886.570.483.880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Get a lot worse;Get a little worse;2;;;;;;;;;;;;;;
53;Male;GCE A level or Higher Certificate;East of England;1.047.542.886.955.070;.8742344424119622;.9250289442105323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little worse;Got a little better;Get a little better;Stay the same;1;Stayed the same;Gotten a little worse;Stay the same;Get a little worse;1;Agree;Strongly agree;1;.8619482250064203;Got a little better;Got a little better;Get a little better;Stay the same;1
65;Male;City and Guild certificate;East of England;.8285674714983989;.8554998450558481;.8603365204270957;Agree;Agree;Disagree;6;3;;;No-none;No effect;Don’t know;No effect;Don’t know;Neither agree nor disagree;Agree;Disagree;Agree;Neither agree nor disagree;Disagree;2;2;2;2;Neither unimportant nor important;Extremely well;Always;Neither unimportant nor important;3;3;3;3;5;3;4;3;3;1;Got a little better;Stayed the same;Stay the same;Get a little better;3;Gotten a little better;Stayed the same;Stay the same;Get a little better;3;Neither agree nor disagree;Neither agree nor disagree;3;;;;;;
56;Female;University or CNAA first degree (eg BA, B.Sc, B.Ed);North East;1.065.530.380.692.880;1.156.539.344.634.510;119.019.733.232.056;Strongly agree;Agree;Agree;4;4;Labour;;;Don’t know;Positive effect;Don’t know;Don’t know;Agree;Disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;2;2;3;4;Neither unimportant nor important;Don’t know;Always;Neither unimportant nor important;4;2;3;3;3;3;3;3;5;3;Stayed the same;Got a little worse;Get a little worse;Stay the same;2;Gotten a little better;Gotten a little worse;Get a little worse;Stay the same;3;Strongly agree;Agree;3;1.661.323.922.473.000;Got a little better;Stayed the same;Get a little worse;Stay the same;3
58;Female;University diploma;East Midlands;1.070.862.561.674.290;1.156.478.997.281.000;1.150.369.535.982.750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a lot worse;Got a little worse;Get a little worse;Get a little worse;1;Gotten a little worse;Stayed the same;Stay the same;Stay the same;1;Strongly agree;Strongly agree;1;.7025439311593309;Stayed the same;Stayed the same;Stay the same;Stay the same;1
30;Male;No formal qualifications;South East;;;;Neither agree nor disagree;Donâ€™t know;Neither agree nor disagree;5;7 -  Government should do more to reduce income inequality.;;;No-none;Don’t know;Don’t know;Don’t know;Don’t know;Neither agree nor disagree;Disagree;Agree;Disagree;Strongly disagree;Strongly agree;5;5;5;5;Very unimportant;Don’t know;Don’t know;Don’t know;3;2;2;2;3;2;2;1;4;1;;;;;;;;;;;;;;;;;;;
73;Female;Clerical and commercial;South West;.3218709812427168;.4099482952724099;.4070593080632554;Strongly agree;Strongly agree;Agree;5;4;;;United Kingdom Independence Party (UKIP);Negative effect;Don’t know;Negative effect;Negative effect;Agree;Disagree;Agree;Neither agree nor disagree;Strongly disagree;Strongly agree;4;5;5;5;Neither unimportant nor important;Very well;Always;Neither unimportant nor important;5;5;5;5;5;5;5;5;5;4;Got a lot worse;Stayed the same;Stay the same;Stay the same;3;Stayed the same;Stayed the same;Stay the same;Get a little better;3;Strongly agree;Strongly agree;3;.4286068738761439;Got a little worse;Stayed the same;Get a little worse;Stay the same;3
58;Female;CSE grade 1, GCE O level, GCSE, School Certificate;East of England;.506667700430905;1.101.635.474.955.590;1.193.424.587.899.150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little worse;Got a little better;Get a little better;Stay the same;2;Gotten a lot worse;Gotten a little better;Stay the same;Stay the same;2;Strongly agree;Strongly agree;1;.5387257388080685;Got a lot worse;Stayed the same;Don't know;Get a little worse;1
50;Female;University or CNAA first degree (eg BA, B.Sc, B.Ed);Scotland;.8980918008754861;.4358604278010855;.4286664344245404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Agree;Agree;1;.7986467015035443;Stayed the same;Stayed the same;Stay the same;Stay the same;1
31;Female;GCE A level or Higher Certificate;London;1.122.028.033.816.610;.5832634255539393;.5993339129573295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stayed the same;Stayed the same;Stay the same;Stay the same;1;Stayed the same;Gotten a little worse;Get a little worse;Get a little worse;1;Agree;Agree;1;1.259.732.103.948.660;Stayed the same;Stayed the same;Get a little worse;Stay the same;1
44;Male;University diploma;London;;;;Agree;Strongly agree;Agree;4;4;;Green;;Positive effect;Positive effect;No effect;Positive effect;Agree;Disagree;Agree;Disagree;Disagree;Agree;2;3;2;4;Neither unimportant nor important;Not very well;Sometimes;Neither unimportant nor important;3;2;2;2;4;2;2;2;2;1;;;;;;;;;;;;;;;;;;;
66;Female;CSE grade 1, GCE O level, GCSE, School Certificate;South West;1.167.777.978.656.570;1.023.531.422.350.860;1.006.076.915.341.360;Strongly agree;Strongly agree;Agree;5;4;;Don't know;;Negative effect;Don’t know;Negative effect;Negative effect;Neither agree nor disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Neither agree nor disagree;3;3;2;2;Very important;Very well;Quite Often;Neither unimportant nor important;4;3;4;3;5;2;4;2;4;2;Stayed the same;Got a little worse;Stay the same;Stay the same;3;Stayed the same;Stayed the same;Stay the same;Stay the same;3;Neither agree nor disagree;Agree;3;1.019.969.693.542.220;Got a little better;Got a little better;Stay the same;Don't know;3
45;Male;CSE grade 1, GCE O level, GCSE, School Certificate;London;1.120.563.037.247.170;;;Strongly agree;Strongly agree;Strongly agree;10;3;;;Conservative;Negative effect;Don’t know;Negative effect;Negative effect;Agree;Agree;Strongly disagree;Agree;Agree;Disagree;4;4;5;4;Extremely important;Extremely well;Always;Extremely important;4;5;4;4;5;3;5;4;4;2;Stayed the same;Got a little worse;Get a little worse;Don't know;3;;;;;;;;;;;;;;
47;Male;University or CNAA higher degree (eg M.Sc, Ph.D);South East;.9747717813985171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Stayed the same;Get a little better;Get a little better;1;;;;;;;;;;;;;;
39;Female;Other technical, professional or higher qualification;West Midlands;.7730539456680694;.8970965355929266;.8948862890319187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Don't know;Don't know;Don't know;Don't know;2;Gotten a little worse;Gotten a little worse;Get a little worse;Get a little worse;2;Don't know;Don't know;2;;;;;;
71;Female;University or CNAA higher degree (eg M.Sc, Ph.D);South East;.9064065258824507;.7269404700092997;.7427908831332468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Got a little better;Got a little worse;Get a little better;Get a little better;3;Gotten a little better;Gotten a little worse;Get a little better;Get a little better;3;Strongly agree;Strongly agree;3;.7258663570198256;Got a little better;Got a lot better;Stay the same;Get a little better;3
